player_name,dg_id,my_pred
scottie scheffler,18417,3.646
bryson dechambeau,19841,2.647
jon rahm,19195,2.089
joaquin niemann,18079,2.161
rory mcilroy,10091,1.924
collin morikawa,22085,2.125
tommy fleetwood,12294,1.836
xander schauffele,19895,1.665
shane lowry,13900,1.42
justin thomas,14139,1.268
corey conners,17576,1.493
patrick cantlay,15466,1.462
ludvig aberg,23950,1.726
sepp straka,17511,1.3
keegan bradley,13872,1.376
sam burns,19483,1.261
ben griffin,24968,1.31
jordan spieth,14636,1.271
tyrrell hatton,14796,1.208
hideki matsuyama,13562,1.29
robert macintyre,23323,1.273
russell henley,14578,1.218
daniel berger,17606,1.222
viktor hovland,18841,1.306
taylor pendrith,17780,1.379
harris english,14577,1.179
maverick mcnealy,18634,1.226
si woo kim,14609,1.104
j.j. spaun,17536,1.149
tony finau,11676,1.066
aaron rai,18554,0.785
carlos ortiz,14735,0.969
akshay bhatia,26096,1.088
min woo lee,16841,0.802
patrick reed,14838,0.702
sungjae im,17488,0.849
matt fitzpatrick,17646,0.923
andrew novak,23475,0.837
cameron young,26651,0.781
denny mccarthy,19870,0.89
nick taylor,13126,0.679
ryan fox,11889,0.751
brooks koepka,16243,0.748
thorbjorn olesen,13412,0.97
ryan gerard,29767,0.719
adam scott,6430,0.931
davis thompson,27364,0.878
j.t. poston,21554,0.578
jason day,9771,0.675
bud cauley,14502,0.952
rasmus hojgaard,23838,0.875
rasmus neergaard-petersen,23841,0.668
matt wallace,20706,0.746
matt mccarty,28635,0.641
mackenzie hughes,15556,0.592
max greyserman,23465,0.719
michael kim,17543,0.587
chris gotterup,27774,0.603
cameron smith,15856,0.563
sam stevens,25569,0.79
thomas detry,14181,0.585
jordan smith,18586,0.619
byeong hun an,14459,0.682
emiliano grillo,12808,0.513
wyndham clark,23604,0.619
jacob bridgeman,29433,0.312
mark hubbard,16333,0.277
tom hoge,15575,0.314
eric cole,21756,0.517
christiaan bezuidenhout,18103,0.354
stephan jaeger,16394,0.262
victor perez,20730,0.301
brian harman,8825,0.347
doug ghim,24550,0.365
johnny keefer,32457,0.43
marc leishman,7649,0.164
tom kim,24766,0.246
dustin johnson,12422,0.524
erik van rooyen,17550,0.259
gary woodland,12577,-0.127
lucas glover,7399,0.048
davis riley,19872,0.145
jackson koivun,32319,0.274
niklas norgaard,15676,0.167
jhonattan vegas,13508,0.002
chris kirk,12423,0.036
justin rose,6093,0.232
laurie canter,14795,0.02
richard bland,6516,-0.04
nico echavarria,22833,-0.021
matthew jordan,25601,-0.03
sam bairstow,28615,-0.09
cam davis,17786,-0.062
joe highsmith,28469,0.0
takumi kanaya,19729,-0.136
justin lower,17723,-0.04
frederic lacroix,23733,-0.22
brian campbell,18628,-0.23
guido migliozzi,17357,-0.244
scott vincent,14559,-0.34
lanto griffin,15330,-0.35
jacques kruyswijk,16896,-0.37
jinichiro kozuma,14209,-0.4
edoardo molinari,7033,-0.41
thriston lawrence,18105,-0.42
matthieu pavon,19960,-0.44
michael la sasso,30036168,-0.45
phil mickelson,1547,-0.297
emilio gonzalez,28016,-0.48
alistair docherty,24962,-0.48
ben james,29827,-0.252
andrea pavan,12177,-0.51
zac blair,17639,-0.59
alvaro ortiz,26190,-0.62
adam schenk,19477,-0.66
trent phillips,26913,-0.82
chandler blanchet,24956,-0.85
kevin velo,27762,-0.85
zach bauchou,19846,-0.86
trevor cone,21880,-0.86
joakim lagergren,14780,-0.88
riki kawamoto,22844,-0.96
jose luis ballester,28473,-0.98
ryan mccormick,18536,-1.03
yuta sugiura,24223,-1.14
preston summerhays,26746,-1.2
will chandler,31212,-1.21
roberto diaz,15394,-1.26
nick dunlap,28270,-1.544
james hahn,11374,-1.45
lance simpson,30037717,-1.6
james nicholas,27598,-1.6
justin hastings,31960,-1.61
jackson buchanan,32333,-1.61
tyler weaver,30035392,-1.74
riley lewis,32521,-1.88
frankie harris,30029940,-1.91
maxwell moldovan,29769,-1.95
zachery pollo,30035503,-2.05
philip barbaree,21993,-2.06
austen truslow,18239,-2.09
cameron tankersley,28271,-2.13
bryan lee,30029799,-2.26
evan beck,22025,-2.33
brady calkins,29766,-2.45
chase johnson,25334,-2.45
mason howell,30040406,-2.75
george duangmanee,27350,-2.75
noah kent,33354,-2.75
harrison ott,29922,-2.95
george kneiser,27658,-3.45
justin hicks,9166,-3.75
grant haefner,30034233,-4.15
matt vogt,30032406,-4.55
joey herrera,31518,-4.65
trevor gutschewski,32684,-5.25
