tournament_year,course_name,round_num,hole_num,hole_par,hole_yardage,scoring_avg,rel_scoring_avg,eagles_or_better,birdies,pars,bogeys,doubles_or_worse
2021,TPC River Highlands,1,1,4,424,3.94,-0.06,0,30,106,20,0
2021,TPC River Highlands,1,2,4,348,3.99,-0.01,1,41,78,31,5
2021,TPC River Highlands,1,3,4,418,4,0,0,27,105,21,3
2021,TPC River Highlands,1,4,4,489,4.23,0.23,0,12,98,44,2
2021,TPC River Highlands,1,5,3,225,3.18,0.18,0,6,116,34,0
2021,TPC River Highlands,1,6,5,580,4.8,-0.2,1,46,92,17,0
2021,TPC River Highlands,1,7,4,442,3.97,-0.03,0,19,124,12,1
2021,TPC River Highlands,1,8,3,206,3.18,0.18,0,15,105,29,7
2021,TPC River Highlands,1,9,4,407,3.92,-0.08,0,25,119,12,0
2021,TPC River Highlands,1,10,4,452,4.22,0.22,0,14,100,36,6
2021,TPC River Highlands,1,11,3,151,2.93,-0.07,0,27,113,16,0
2021,TPC River Highlands,1,12,4,420,4.12,0.12,0,27,90,32,7
2021,TPC River Highlands,1,13,5,529,4.83,-0.17,4,56,64,27,5
2021,TPC River Highlands,1,14,4,404,3.92,-0.08,0,31,108,16,1
2021,TPC River Highlands,1,15,4,295,3.7199999999999998,-0.28,1,64,72,17,2
2021,TPC River Highlands,1,16,3,163,3.01,0.01,0,19,117,20,0
2021,TPC River Highlands,1,17,4,403,4.2,0.2,0,21,91,36,8
2021,TPC River Highlands,1,18,4,437,3.95,-0.05,0,28,109,18,1
2021,TPC River Highlands,2,1,4,447,4.03,0.03,0,27,101,25,3
2021,TPC River Highlands,2,2,4,350,3.81,-0.19,1,45,95,13,2
2021,TPC River Highlands,2,3,4,437,3.94,-0.06,0,26,115,13,2
2021,TPC River Highlands,2,4,4,479,4.24,0.24,0,15,94,43,4
2021,TPC River Highlands,2,5,3,230,3.17,0.17,0,12,107,36,1
2021,TPC River Highlands,2,6,5,574,4.64,-0.36,0,65,82,9,0
2021,TPC River Highlands,2,7,4,456,4.03,0.03,0,18,115,23,0
2021,TPC River Highlands,2,8,3,204,3.03,0.03,0,19,116,18,3
2021,TPC River Highlands,2,9,4,390,3.88,-0.12,0,35,107,13,1
2021,TPC River Highlands,2,10,4,451,4.03,0.03,0,23,107,25,1
2021,TPC River Highlands,2,11,3,162,2.79,-0.21,0,42,104,10,0
2021,TPC River Highlands,2,12,4,391,3.96,-0.04,0,33,99,22,2
2021,TPC River Highlands,2,13,5,530,4.74,-0.26,2,61,73,16,4
2021,TPC River Highlands,2,14,4,415,3.93,-0.07,0,27,113,16,0
2021,TPC River Highlands,2,15,4,279,3.74,-0.26,6,57,66,25,2
2021,TPC River Highlands,2,16,3,155,3.04,0.04,0,18,120,12,6
2021,TPC River Highlands,2,17,4,412,4.08,0.08,0,25,99,27,5
2021,TPC River Highlands,2,18,4,445,3.86,-0.14,1,35,105,15,0
2021,TPC River Highlands,3,1,4,432,4.08,0.08,0,9,55,15,0
2021,TPC River Highlands,3,2,4,333,3.85,-0.15,0,18,56,4,1
2021,TPC River Highlands,3,3,4,430,4.01,0.01,0,10,58,11,0
2021,TPC River Highlands,3,4,4,491,4.18,0.18,0,9,48,21,1
2021,TPC River Highlands,3,5,3,237,3.16,0.16,0,4,58,17,0
2021,TPC River Highlands,3,6,5,592,4.76,-0.24,1,25,46,6,1
2021,TPC River Highlands,3,7,4,452,4.03,0.03,0,16,47,15,1
2021,TPC River Highlands,3,8,3,179,2.82,-0.18,2,20,47,10,0
2021,TPC River Highlands,3,9,4,388,3.95,-0.05,0,12,59,8,0
2021,TPC River Highlands,3,10,4,469,4.2,0.2,0,2,60,16,1
2021,TPC River Highlands,3,11,3,142,2.87,-0.13,0,16,57,6,0
